name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
Bottlenose Wedgefish,https://www.georgiaaquarium.org/animal/bottlenose-wedgefish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/florida-pompano-3-250x250.jpg,Rhynchobatus australiae,Critically Endangered,Up to 10 feet (3.1 m),"Benthic crustaceans, mollusks and bottom-dwelling fish",Indo-West Pacific,Soft bottoms close to shore or coral reefs,"Can reach 10 feet (3.1 m) in length and 500 lbs. (227 kg). Bottlenose wedgefish have a distinctive shape that resembles a cross between a shark and a ray. However, it is actually a member of the ray family. The front of its body is flattened and wide, with a bottle-shaped snout and flattened pectoral fins. The rest of its body and the large dorsal fins create a shark-like appearance. Juvenile coloration is grayish-brown with white spots and a black spot on the pectoral fin. There are three white spots above each black spot. Adults are considerably darker in color, appearing almost black from above with white spots and a black spot on the pectoral fin. There are three white spots above each black spot.","""Critically Endangered” on the IUCN Red List."
Bowmouth Guitarfish,https://www.georgiaaquarium.org/animal/bowmouth-guitarfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bowmouth-guitarfish-4-250x250.jpg,Rhina ancylostoma,Critically Endangered,9.8 feet (3 m),Benthic crustaceans and mollusks,Indo-West Pacific,Sandy or muddy bottoms close to shore,"Adults can reach approximately 9.8 feet (3 m) in length and have a maximum weight of about 298 lbs. (135 kg). Bowmouth guitarfish has a distinctive shape that resembles a cross between a shark and a ray, however, it is actually a member of the ray family. The front of its body is flattened and wide, while the rest of its body and the large dorsal fins create a shark-like appearance. A broadly rounded snout shows a row of spiky thorns on the bony ridges above both eyes and along the back and shoulders. The tail is longer than the body and the pectoral fins are large with a broad base typical of a ray. Adult coloration is grayish-brown in color with white spots on the dorsal fins and darker spots on the head and shoulders. Juveniles are brown to bluish-grey with large white spots, partial eye-spots on the pectoral fins and black spots between the eyes.","The bowmouth guitarfish look a lot like sharks, but they are actually rays! Since sharks and rays are closely related, it can sometimes be hard to tell the difference. An easy way to tell is by looking at the location of the gill slits – if the gills are on the side of the fish, then you’re looking at a shark. If the gills are on the underside, however, then it’s a ray!"
California Sea Lion,https://www.georgiaaquarium.org/animal/california-sea-lion/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/california-sea-lion-2-250x250.jpeg,Zalophus californianus,Least Concern,"6-8 feet (2-2.4 m), 220-770 (100-350 kg) lbs.","Squid, anchovy, rockfish, whiting and mackerel",Eastern Pacific Ocean,Near-shore waters,"The maximum length is 6.6 feet (2 m) for females and 7.8 feet (2.4 m) for males. Common weight is about 220 lbs. (100 kg) for females and 770 lbs. (350 kg) for males. The maximum weight for males is 858 lbs. (390 kg). The maximum weight for females is 242 lbs. (110 kg). The average weight at birth is 13-20 lbs. (6-9 kg). The average length at birth is 30 inches (75 cm). Two long, powerful, wing-like front flippers with short claws and two smaller rear flippers. Uses front flippers for propulsion and back flippers to steer while swimming. Rotates all four flippers underneath the body to walk on land. Flippers are supported by a skeletal structure similar to the bones in a human hand. May hold flippers out of the water to thermoregulate. Stiff, thick whiskers, or “vibrissae,” made of keratin found around the muzzle. Help to feel the shape and size of objects and detect vibrations and sounds. Female coloration is lighter brown while males are typically darker brown, though males range in color from light brown to black. The fur on the male’s head may become lighter with age and the coat appears darker when wet. Males develop a bony bump on their head known as a sagittal crest at approximately five years of age. Pups are dark brown in color at birth, then shed juvenile fur and grow adult fur at 4-6 months of age. Two layers of fur – outer guard hairs and an inner underfur. Does not molt annually, but instead sheds and replaces fur all year long. Blubber helps keep sea lions warm. Male has a larger, thicker body shape than female. Large eyes with excellent vision both in and out of the water and in low-light conditions. Member of the familyOtariidae, or “eared seals,” and therefore has small, external ear flaps, or “pinnae” (as opposed to a “true seal,” a member of familyPhocidae, which has only small ear holes).Can hear above and below water. Can hear above and below water. A well-developed sense of smell on land, but cannot smell underwater. Males may use smell to detect a female ready to mate. Mother and pup may use smell and vocalizations to identify one another.",California sea lions’ whiskers can detect vibrations under water.
California Sheephead,https://www.georgiaaquarium.org/animal/california-sheephead/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/california-sheephead-4-250x250.jpg,Semicossyphus pulcher,Vulnerable,Up to 3 feet (1 m),"Sea urchins, crabs, lobsters and other hard-shelled prey",Eastern Pacific Ocean,Kelp forests,"Adults reach a maximum length of about 3 feet (1 m). Juveniles are bright orange in color with prominent blue dots at the fins and the base of the tail. The lower jaw is white and most individuals have a white line running from the mouth to the caudal fin. As adults, males and females are sexually dimorphic, meaning the males look different from the females.Females are smaller and sleeker than males, solid red-orange above and white ventrally. The lower jaw is bright white.Males are more robust, with large bulging foreheads. In coloration, they are black at the head and tail, with an orange midsection. The lower jaw is bright white. Females are smaller and sleeker than males, solid red-orange above and white ventrally. The lower jaw is bright white. Males are more robust, with large bulging foreheads. In coloration, they are black at the head and tail, with an orange midsection. The lower jaw is bright white.",Sequential hermaphrodite (protogynous): each individual starts life as a female and then changes to a male.
Cichlid,https://www.georgiaaquarium.org/animal/cichlid/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/cichlid-5-250x250.jpg,Cichlidae,Not Evaluated,1 inch (2.5 cm) to 3 feet (1 m),"Phytoplankton, zooplankton, benthic algae, plants, insects, molluscs, fish eggs and larvae","Africa, India, South America","Aquatic habits ranging from open water to shallow areas in lakes, rivers, streams, and swamps","Cichlids exhibit a wide range of body shapes. The most common form is ovate and somewhat laterally compressed, but some species are strongly compressed or cylindrical and elongated. The size of individuals varies by species and ranges from about one inch (2.5 cm) to three feet (1 m). This family is noted for the profusion of bright colors and color patterns found among different species. Just about every color found in fish anywhere can also be found in some species of cichlids.","Most cichlid species are found in three large lakes in East Africa: Lake Malawi, Lake Victoria and Lake Tanganyika."
Clown Anemonefish,https://www.georgiaaquarium.org/animal/clown-anemonefish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/clown-anemonefish-4-250x250.jpg,Amphiprion percula,Least Concern,3 inches (7.6 cm),Zooplankton,Western Pacific,"Sea anemones in shallow, coastal waters","Its body is bright orange with three vertical white bars: one located just behind the eye, a middle bar characterized by a forward bulge that projects toward the head, and a posterior bar near the caudal fin. Each bar is edged in black, as are the fins. Grows to a maximum length of about 3 inches (7.6 cm). Female is larger than male.","Symbiosis, or “living together,” is a primary behavior of the clownfish. Clownfish use sea anemones for shelter and protection from predators."
Common Bottlenose Dolphin,https://www.georgiaaquarium.org/animal/bottlenose-dolphin/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/common-bottlenose-dolphin-250x250.jpg,Tursiops truncatus,Least Concern,7-9 feet  (2-2.7 m),"Fish, cephalopods, crustaceans, small rays or sharks",Tropical and temperate waters around the world,"Bays, tidal creeks, inlets, marshes, rivers and along open ocean beaches","Generally, slate gray to charcoal in color, including countershading (darker dorsally and lighter ventrally). The sides of the body often have light brush markings. Average weight and length of an adult ranges between 485 – 595 lbs. (220 – 270 kg) and 7-9 feet (2-2.7 m).Length and weight vary widely according to geographic region.Body size also typically varies inversely with the water temperature of its location (i.e., larger animals occur in colder regions). Length and weight vary widely according to geographic region. Body size also typically varies inversely with the water temperature of its location (i.e., larger animals occur in colder regions). Average weight and length of a calf is 22-44 lbs. (9.9-20 kg); 2.7-4.6 feet (0.8-1.4 m). The maximum adult weight reported in the ocean:626 lbs. (284 kg) from the western North Atlantic1400 lbs. (635 kg) from the eastern North Atlantic. 626 lbs. (284 kg) from the western North Atlantic 1400 lbs. (635 kg) from the eastern North Atlantic. The common bottlenose dolphin has 72 to 104 teeth. Teeth are not replaced if lost. Highly specialized and contains tiny ridges that play an important role in reducing drag. The outer layer of skin is shed approximately every two hours to increase swimming efficiency by maintaining a smooth body surface. The skin is also an important sensory organ. The epidermis (outer layer of skin) is approximately 15-20 times thicker than that of a human.",Bottlenose dolphins shed their outer skin every 2 hours.
Common Carp,https://www.georgiaaquarium.org/animal/common-carp/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/common-carp-4-250x250.jpg,Cyprinus carpio,Vulnerable,1 foot (31 cm),"Aquatic plants and insects, insect larvae, small crustaceans, small fishes","Europe, Asia, North America",Slow flowing rivers and lakes,"The common carp has a long retractable mouth with two fleshy barbels on each side of the upper jaw at the corner of the mouth. The rearmost barbel is larger. Coloration is gray to brassy olive above and golden yellow below, with clear to dusky fins. A large adult has red-orange caudal and anal fins. The scales are large. This fish can grow to approximately 4 feet (1.2 m) in length. Genetic mutants are frequently encountered that have only a few very large scales (“mirror carp”), or lack scales entirely (“leather carp”).",The common carp can grow to approximately 4 feet (1.2 m) in length.
Common Chuckwalla,https://www.georgiaaquarium.org/animal/common-chuckwalla/,https://www.georgiaaquarium.org/wp-content/uploads/2019/03/common-chuckwalla-3-250x250.jpg,Sauromalus ater,Least Concern,6.4 inches (16.3 cm),Vegetation and occasionally insects,Western United States and northwestern Mexico,Rocky desert habitats with moderate vegetation,"Broad-bodied lizard with loose skin folds along its sides. The tail is about half the length of the body and thick at the base, tapering to a thin tip. Coloration may vary depending on geography, weather and temperament.The Head is brown, grey or dark yellow in color.The body has generally neutral coloration to camouflage with desert environments.Females and young are lighter in color than males. The Head is brown, grey or dark yellow in color. The body has generally neutral coloration to camouflage with desert environments. Females and young are lighter in color than males. Males are slightly larger in size and heavier than females, typically with a broader head. Average length of 6.4 inches (16.2 cm).",Common chuckwallas stay hydrated from the moisture in the plants they consume.
Common Murre,https://www.georgiaaquarium.org/animal/common-murre/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/common-murre-22-250x250.jpg,Uria aalge,Least Concern,15-17 inches (38-43 cm),"Fish, crustaceans, polychaetes (marine worms) and squid",Northern Pacific,"Along rocky, coastal cliffs and offshore islands","A large member of the auk, or alcid, family. Common length of 15-17 inches (38-43 cm). Wingspan of 25-28 inches (64-71 cm). Coloration is dark brown to black on the head, neck and back with a white underside. Orange to red legs and feet. Long, dark, slender and pointed bill and grey to black feet and legs. Winter plumage is similar except with white on the cheeks and throat. Males and females are similar in appearance. Juveniles appear similar to adults except smaller and with darker heads. Chicks are downy and blackish brown on top with a white underside.","The common murre molts twice a year, and has distinctive summer plumage and winter plumage."
Congo Tetra,https://www.georgiaaquarium.org/animal/congo-tetra/,https://www.georgiaaquarium.org/wp-content/uploads/2019/07/congo-tetra-3-250x250.jpg,Phenacogrammus interruptus,Least Concern,3 inches (7.6 cm),"Algae, zooplankton and small invertebrates",Congo River drainage,Open water with floating vegetation,"Common length of 3 inches (7.6 cm). The body is slim and torpedo-shaped with extended, bright red fins. Coloration is bright red to ruby with a ruby sheen and a dark lateral line.",The Congo tetras's coloration is bright red to ruby with a ruby sheen and a dark lateral line.
Copperband Butterflyfish,https://www.georgiaaquarium.org/animal/copperband-butterflyfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/copperband-butterflyfish-3-250x250.jpg,Chelmon rostratus,Least Concern,8 inches (20 cm),Benthic invertebrates,Western Pacific Ocean,"Rocky shores, coral reefs, estuaries and on silty inner reefs","Readily identifiable by its distinctive coloration and long snout. The body is silvery-white with three broad vertical, orange to copper-colored bars. A narrower copper bar on the head passes through the eye. Black spot at the base of the second dorsal fin and a thin black bar on the caudal peduncle. Grows up to 8 inches (20 cm) in length.",The copperband butterflyfish is found primarily in shallow water.
Coral – Hard,https://www.georgiaaquarium.org/animal/coral-hard/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/coral-hard-3-250x250.jpg,Order: Scleractinia,Endangered,"Individual polyps are 1-3mm, colonies can grow very large and weigh several tons","Algae, zooplankton",Tropical waters around the world,Shallow waters that allow sunlight for growth,"All hard corals have tentacles that provide defense, capture food and clean debris. Known as hexacorals, they have tentacles in multiples of 6 (6, 12, 24). Nematocysts (stinging cells) in tentacles release an often-fatal toxin into prey or threats. The polyp provides shelter for zooxanthellae (single-celled algae) The yellow to brown color of this coral is attributed to the zooxanthellae living with the polyp. Other colors are attributed to UV protecting and light regulating proteins. Hard exoskeleton made of calcium carbonate. Skeleton cup (calyx) created as lower portion of the polyp secretes calcium carbonate. When a polyp dies, other polyps build on top of it and continue to secrete calcium carbonate which, over time, creates a larger coral reef. Polyps will generally contract into its calyx when stressed and extend when feeding. Identical coral polyps next to each other form a structure and pattern. There are many types of hard coral, which are often categorized based on appearance:Branching(primary and secondary branches)Digitate(finger-like with no secondary branches)Table(table-like)Elkhorni(large, flattened branches)Foliase(plate-like with whorl patterns)Encrusting(thin layer against substrate)Massive/Boulder(ball-shaped ranging from very small to very large)Mushroom(resembles a mushroom top) Branching(primary and secondary branches) Digitate(finger-like with no secondary branches) Table(table-like) Elkhorni(large, flattened branches) Foliase(plate-like with whorl patterns) Encrusting(thin layer against substrate) Massive/Boulder(ball-shaped ranging from very small to very large) Mushroom(resembles a mushroom top)",Aquarists at Georgia Aquarium propagate and cultivate coral in an aquaculture system; the coral is then transplanted to the Aquarium's live reef wall located in Tropical Diver.
Coral – Soft,https://www.georgiaaquarium.org/animal/coral-soft/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/coral-soft-3-250x250.jpg,Order: Alcyonacea,Endangered,"Polyps can be as small as 1mm, colonies together can grow much larger","Algae, zooplankton",Tropical waters around the world,Shallow waters that allow sunlight for growth,"All species of soft coral have eight tentacles which provide defense, capture food and clean debris. They are part of the sub-class Octocorallia. Nematocysts in tentacles release an often-fatal toxin into prey or threats. Gorgonians have a protein-based skeleton composed of gorgonin or tightly clustered calcium carbonate spicules. Non-gorgonians have calcium carbonate spicules imbedded throughout their tissue In some cases, polyps will specialize based on their physical position in the colony. For example, central polyps form a supporting structure. Some soft corals do not have zooxanthellae in tissue. However, all species that we currently have represented at the Aquarium contain zooxanthellae.","Corals are not adapted to the current, increased rate of ocean acidification and face long-term detrimental effects."
Cownose Ray,https://www.georgiaaquarium.org/animal/cownose-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/cownose-ray-5-250x250.jpg,Rhinoptera bonasus,Vulnerable,3-4 feet (1-1.2 m),"Crabs, bivalves, lobsters and bony fishes",Atlantic Ocean and Gulf of Mexico,Tropical climates in open water and near the coast,"Common length of 3.8 feet (1.2 m) but rays as large as 7 feet (2.1 m) wide have been recorded. The forehead resembles a cow’s nose; with an indented groove around the front of its head and a distinctly bi-lobed snout. The wings (pectoral fins) are long and pointed. It has a long whip-like tail with one or two barbs at the base. Coloration is usually brown to olive on the back (dorsal surface), with no spots or marks. The lower body (ventral surface) is white or yellowish-white.","The cownose ray has been known to feed by using its snout to forage in the sand along the ocean bottom, much like a pig would do on land."
Cuckoo Catfish,https://www.georgiaaquarium.org/animal/cuckoo-catfish/,https://www.georgiaaquarium.org/wp-content/uploads/2019/03/cuckoo-catfish-3-250x250.jpg,Synodontis multipunctatus,Least Concern,Up to 10.8 inches (27 cm),Omnivorous bottom feeder,"Occurs in Lake Tanganyika, Africa",Found over muddy bottoms,"Maximum length of 10.8 inches (27.4 cm). The body is typically white, tan or gold with black spots that increase in size from the head towards the tail. Dorsal, pectoral and caudal fins are predominantly black with white edges. The two anal fins are also pale, with small black triangles close to the body. Barbles are typically white.",The cuckoo catfish is the only fish known to practice brood parasitism.
Discus,https://www.georgiaaquarium.org/animal/discus/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/discus-3-250x250.jpg,Symphysodon aequifasciatus,Least Concern,Up to 5.4 inches (13.7 cm),"Insect larvae, insects and planktonic invertebrates",Amazon River Basin,"Areas with muddy bottoms, live plants and roots","This species acquired its name from the shape of its body which is strongly compressed laterally and nearly circular. Dorsal and anal fins extend along the body almost to the caudal fin, accentuating the circular profile. Discus may reach 5.4 inches (13.7 cm) in total length. The colors and patterns on the body are striking and varied. Background colors range from shades of brown to orange and blue. Patterns include vertical bars and wavy, closely spaced, discontinuous horizontal stripes. These markings can be black or blue and are sometimes edged with red or another color. The fins can carry a pattern or be a solid color, often contrasting with that of the body of the fish. The eyes are often deep red. Three varieties of discus color and pattern are recognized in wild populations:","Discus coloration depends on what the fish eats; fish that are fed brine shrimp, for example, take on a reddish or pink color."
Doctorfish,https://www.georgiaaquarium.org/animal/doctorfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/doctorfish-3-250x250.jpg,Acanthurus chirurgus,Least Concern,10 inches (25 cm),Benthic algae and zooplankton,Western Atlantic,Shallow reefs and rocky areas,"This species grows to 15 inches (38 cm), although it is most commonly about 10 inches (25 cm) in length. The doctorfish is a type of surgeonfish, a group that is named for the sharp, blade-like spine on both sides of the caudal peduncle (the base of the tail). All surgeonfish have a compressed body with the eye high on the head and a single un-notched dorsal fin. The doctorfish is grey to brown in color with approximately ten faint, well-spaced vertical dark bars on its sides. Displays a bright blue edge around its spine.",The doctorfish has a gizzard-like organ in the intestines that contains sand and aids in grinding up food prior to digestion.
Eastern River Cooter,https://www.georgiaaquarium.org/animal/eastern-river-cooter/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/eastern-river-cooter-5-250x250.jpg,Pseudemys concinna concinna,Least Concern,9-12 inches (23-30.5 cm),Omnivorous,North America,Streams and rivers with clear water and substantial vegetation,"River cooters are identifiable by a C-shaped figure on the second costal scute of its carapace, or shell. Concentric circles appear on the carapace in addition to the typical C-shaped figure. The eyes are joined by five light stripes. The marginal scutes of the turtle are characterized by O-shaped spots. The lower jaw of a cooter is flat. The carapace is commonly 9-12 inches (23-30.5 cm) long with a maximum size of 12.75 inches (32.4 cm).",The eastern river cooter faces population declines due to river pollution.
Electric Eel,https://www.georgiaaquarium.org/animal/electric-eel/,https://www.georgiaaquarium.org/wp-content/uploads/2022/05/electric-eel-4-250x250.jpg,Electrophorus electricus,Least Concern,Up to 8 feet (2.5 m),Diet consists of smaller fish and amphibians,"Amazon basin, the Orinoco River and the Guyanas","Murky water in pools, deeply shaded streams and creeks","The electric eel is the largest of the knifefish and can grow to be almost 8 feet (2.5 m) and weigh up to 44 lbs. (20 kg). It is a long-bodied fish with a flattened, broad head. The body is cylindrical toward the front, becoming compressed laterally toward the tail. The elongated, scaleless body is olive to black in color with a yellow or orange-hued throat region. It has an elongated anal fin that runs most of the length of its body and small pectoral fins. All other fins are absent. The electric eel has a large mouth with one row of cone-shaped teeth on each jaw. Its electric organs consist of flattened columns of electroplates arranged in rows along its sides behind the head. Electroplates are composed of a series of hundreds of thousands of electrocyte cells. The power of its electric discharge increases with its body length.","In addition to protection and stunning prey, the electric discharge of the electric eel is also used for navigation and social communication."
Elephantnose Fish,https://www.georgiaaquarium.org/animal/elephantnose-fish/,https://www.georgiaaquarium.org/wp-content/uploads/2019/07/elephantnose-fish-3-250x250.jpg,Gnathonemus petersii,Least Concern,9 inches (23 cm),Worms and insects,Western Africa,Slow-moving waters in large rivers,"The elephantnose fish is a slender, laterally compressed fish. It has a long chin barbel on its lower jaw, which is the basis for its name. This species is dark brown to black in color with two whitish bands at the beginning and middle dorsal and anal fins. The narrow caudal peduncle (base of tail) contains a weak electric organ. Electro-receptors are distributed over the entire head and the dorsal and ventral regions of the body but are absent from the sides and the caudal peduncle where the electric organ is located. The elephantnose fish can grow to about 14 inches (35 cm) in length, although around 9 inches (23 cm) is common.","The elephantnose fish is a social animal, usually occurring in large schools. There appears to be a complex social structure with this species."
False Pilchard,https://www.georgiaaquarium.org/animal/false-pilchard/,https://www.georgiaaquarium.org/wp-content/uploads/2020/10/false-pilchard-2-250x250.jpg,Harengula clupeola,Least Concern,4 inches (10 cm),"Small planktonic prey including larvae, eggs and very small crustaceans",Western Atlantic,"Lagoons, estuaries, often near coral and rocky reef systems","Maximum size of 7 inches (18 cm), but lengths closer to 4 inches (10 cm) are more common. Small, bright, reflective silver fish. The dorsal surface displays a dark or dull greenish tinge. The face is blunt, with a small mouth and large eyes. This species displays a faint, pale orange or gold dot on the operculum (gill cover).",
Fire Eel,https://www.georgiaaquarium.org/animal/fire-eel/,https://www.georgiaaquarium.org/wp-content/uploads/2019/03/fire-eel-2-250x250.jpg,Mastacembelus erythrotaenia,Least Concern,Up to 40 inches (102 cm),Omnivorous benthic feeder,Asia,Sluggish lowland waters,"Maximum length of 40 inches (102 cm). Narrow, pointed snout; the head is triangular in shape and gradually widens into a streamlined body with small pectoral fins towards the front portion. The body ends in a thin paddle-like tail. Head, body and tail are black in coloration but may appear green or blue depending on the lighting. The head and back portion of the body are streaked with red and black horizontal bands. The Middle section of the body has prominent red spots or elongated marks.",The fire eel externally fertilizes its eggs.
Fish-Eating Anemone,https://www.georgiaaquarium.org/animal/fish-eating-anemone-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/fish-eating-anemone-4-250x250.jpg,Urticina piscivora,Not Evaluated,8 inches (20 cm) tall and 10 inches (25 cm) in diameter,"Small fishes, invertebrates",Eastern Pacific Ocean,Low intertidal zone,"The fish-eating anemone can grow to 8 inches (20 cm) tall and 10 inches (25 cm) in diameter. It has a smooth red column without spots with short, slender, white tentacles which can be tipped with red or pink.","The fish-eating anemone captures its prey by stinging cells called “nematocysts.” Located all along each tentacle, the cigar-shaped nematocyst contains a barbed, coiled thread."
Flashlight Fish,https://www.georgiaaquarium.org/animal/flashlight-fish/,https://www.georgiaaquarium.org/wp-content/uploads/2021/07/flashlight-fish-3-250x250.jpg,Photoblepharon palpebratum,Least Concern,Up to 4.7 inches (12 cm),Zooplankton and small fish,Western and Central Pacific around Asia,Seaward reefs and caves,"A rather short-bodied, charcoal gray fish with a black face and chin. White patches mark the base of the pectoral fins. A curving lateral line of raised dots run from behind the operculum to the caudal fin. Half-moon-shaped spots beneath the eyes are actually small organs that house light-producing bacteria. To eliminate the effect, the flashlight fish can “blink” dark membranes up to cover the light. Maximum length of up to 4.7 inches (12 cm) in length.",Flashlight fish are nocturnal and will hide deep in caves during the day.
Foxface Rabbitfish,https://www.georgiaaquarium.org/animal/foxface-rabbitfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/foxface-rabbitfish-3-250x250.jpg,Siganus vulpinus,Least Concern,Up to 9.8 inches (25 cm),Algae,Western Pacific Ocean,Coral-rich areas of lagoons and seaward reefs,"Distinctive shape and coloration. It has an elongated snout and concave head profile. Adults have a diagonal black band from the base of the dorsal (top) fin through the eye to the mouth. The breast is covered by a large black triangle. The posterior portion of the body and fins are bright yellow. Can grow to 9.8 inches (25 cm) in length. The anal fin has seven spines, more than most other bony fishes.",Foxface rabbitfish are venomous and capable of delivering a painful sting.
French Angelfish,https://www.georgiaaquarium.org/animal/french-angelfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/french-angelfish-3-250x250.jpg,Pomacanthus paru,Least Concern,11 inches (28 cm),"Sponges, algae, bryozoans, zoantharians, gorgonian corals and tunicates",Western Atlantic Ocean,Subtropical shallow reefs,"Commonly 11 inches long (28 cm), can reach a maximum size near 16 inches (41 cm). Adults are almost entirely black with yellow tints on the body scales. Sub-adults will have some scale coloration, usually with two to three yellow bars. Juveniles have many yellow bars on their bodies.",Breeding pairs of foxface angelfish will defend their territory from other pairs.
Garibaldi,https://www.georgiaaquarium.org/animal/garibaldi-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/garibaldi3-250x250.jpg,Hypsypops rubicundus,Least Concern,12-14 inches (31–36 cm),Invertebrates,Eastern Pacific Ocean,"Clear water, often near crevices, small caves, and occasionally in kelp","Common size is about 12-14 inches (31–36 cm) in length. It is the largest of the damselfish. The most distinguishing feature is the bright orange color of the adult. A juvenile is red-orange with bright iridescent blue spots on the body and blue edges on the fins. This species has a small, narrow mouth and an oval-shaped body.",Garibaldi damselfish can make an audible thumping sound when disturbed.
Giant Grouper,https://www.georgiaaquarium.org/animal/giant-grouper/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/giant-grouper-4-250x250.jpg,Epinephelus lanceolatus,Data Deficient,6.2 feet (1.9 m),"Fish, sharks, juvenile sea turtles and crustaceans",Indo-Pacific,"Tropical shallow reefs, caves, wrecks and estuaries","Largest of all coral reef-dwelling bony fish. Common length of 6.2 feet (1.9 m), with a maximum length of 9 feet (2.7 m). One of the largest recorded was 9.8 feet (3 m) and weighed more than 882 lbs. (400 kg). Has a very large mouth that expands and protrudes to create a strong suction to draw in prey. The mouth has at least seven rows of teeth in the middle of the lower jaw. The giant grouper’s eyes function effectively in dim light, which gives it an advantage over its prey during dawn and dusk feeding times. Eyes also rotate so grouper can see approaching prey without moving its head. Juvenile giant grouper are bright yellow with large, irregular black or dark brown bars. As adults, irregular patterns break up and their coloring becomes a muted, mottled olive-gray.","Because it is long lived and late to reproduce, the giant grouper is highly susceptible to overfishing. Fishermen generally target larger individuals, meaning that, frequently, too many breeding specimens are removed from a population for it to sustain itself."
Giant Pacific Octopus,https://www.georgiaaquarium.org/animal/giant-pacific-octopus/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/giant-pacific-octopus-3-250x250.jpg,Enteroctopus dofleini,Least Concern,13 feet (4 m) in length,"Crustaceans, mollusks, fish and smaller octopods",Pacific coast,"Shallow tidal pools to ocean depths of about 4,920 feet (1500 m)","The giant Pacific octopus is usually reddish-brown in color. The average size is 7-14 feet (2.1-4 m) in length from arm tip to arm tip. An average adult can weigh 50 lbs. (22.7 kg). This species tends to be small when it lives in warmer water and larger in colder waters, such as the North Pacific. It has eight arms attached to its body. Each arm has two rows of suckers and there may be as many as 250 suckers on each one. This is the largest species of octopus with a record size of 600 lbs. (181 kg) and a 30-foot (7.6 m) arm span. The body of the octopus is bulb-shaped and contains all of the octopus’ organs and its mouth. The mouth is located on the underside, where the arms converge. In the center of the mouth is a beak that is made of keratin, the same substance that is in the human fingernail and the rhinoceros horn. The beak is used to kill its prey and bite it into pieces prior to swallowing.",The giant Pacific octopus can have up to 250 suckers on each arm.
Giant Plumose Anemone,https://www.georgiaaquarium.org/animal/giant-plumose-anemone/,https://www.georgiaaquarium.org/wp-content/uploads/2019/08/giant-plumose-anemone-3-250x250.jpg,Metridium farcimen,Not Evaluated,Maximum height of 3 feet (1 m),Plankton and small fish,North Atlantic Coast and North Pacific coast,Subtidal or intertidal areas,"Coloration is usually white but can be brown, tan, pink or orange with white tentacles. Maximum height of 3 feet (1 m). The oral disc is lobed and wider than its base, with over 200 short tentacles attached to it. Anemones defend themselves with acontia, threadlike organs that contain stinging nematocyst cells. While these cannot sting human skin, they are largely effective against both predator and prey.",Giant plumose anemones are some of the world’s tallest polyps.
Giant Puffer,https://www.georgiaaquarium.org/animal/giant-puffer/,https://www.georgiaaquarium.org/wp-content/uploads/2019/05/giant-puffer-2-e1673026579363-250x250.jpg,Tetraodon mbu,Least Concern,Maximum length of 30 inches (76 cm),"Mollusks, insects, crustaceans and small fish",Large rivers and lakes in Africa,Shallow water near bottom of rivers and lakes,"Coloration is white to yellow over the back and sides with a pattern of darker brownish-black irregularly shaped rings, spots and stripes. The belly is a lighter shade of yellow to white. The body is short, stout, tube-shaped, and covered in a large number of spines with ray-shaped pectoral fins. Small mouth with two sets of fused, beak-like teeth, one each on the upper and lower mandibles. Maximum length of 30 inches (76 cm).",The giant puffer is largest species of freshwater puffer fish.
Golden Trevally,https://www.georgiaaquarium.org/animal/golden-trevally/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/golden-trevally-3-250x250.png,Gnathanodon speciosus,Least Concern,3.6 feet (1.1 m),Small fish and invertebrates,Indo-Pacific and in the Eastern Pacific,Deep lagoons and seaward reefs,"Adult golden trevally can reach 3.6 feet (1.1 m) in length. The species has thick and fleshy lips and a tall crescent-shaped caudal fin. The color of the juvenile and young adult golden trevally is a bright yellow to silvery with alternating broad and narrow black bars. The fins are yellow. The adults are silver in color and have a few black blotches or spots on their sides. If bars are present, they are very faint.",Small juveniles of the golden trevally species will sometimes live among the tentacles of certain jellies.
